,closestGlovoCity,total_observations,mean_age,mean_female_share,share_España,share_Marruecos,share_Ecuador,share_Colombia,share_Rumanía,share_Argentina,share_Francia,share_Perú,share_Alemania,share_Reino_Unido,share_Venezuela,share_Bolivia,share_Cuba,share_República_Dominicana,share_Brasil,share_Uruguay,share_China,share_Italia,share_Bulgaria,share_Chile,glovoCityCoords,autonomousCommunity,index_antiimmigration,index_xenophobia,index_all
29,Rivas,29432.0,37.88573661321011,0.5093435716227236,0.9184221255776026,0.0028540364229410167,0.004213101386246263,0.0062516988312041315,0.043116335960858926,0.0022424571894536557,0.000679532481652623,0.0031258494156020658,0.0005096493612394672,0.0005436259853220984,0.0007135091057352542,0.000679532481652623,0.0010532753465615657,0.0014270182114705084,0.0005436259853220984,0.00044169611307420494,0.0011891818428920902,0.0014609948355531394,0.000679532481652623,0.0009853220983963033,"[40.3643815, -3.5260695]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
30,Tres Cantos,3421.0,36.828705057000874,0.5150540777550424,0.9365682548962292,0.0017538731365097924,0.002630809704764689,0.0035077462730195848,0.0020461853259280912,0.002630809704764689,0.0040923706518561824,0.00467699503069278,0.003215434083601286,0.0035077462730195848,0.00029231218941829873,0.006430868167202572,0.0005846243788365975,0.003215434083601286,0.0029231218941829875,0.0,0.0,0.003800058462437884,0.0005846243788365975,0.0020461853259280912,"[40.6065826, -3.7065333]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
31,Valdemoro,15822.0,36.791556061180636,0.5097964859057009,0.9233345973960309,0.004740235115661737,0.005751485273669574,0.008658829477942106,0.02142586272279105,0.002844141069397042,0.0006952344836303881,0.005056250790039186,0.0010112501580078373,0.0007584376185058779,0.0017064846416382253,0.0011376564277588168,0.0017064846416382253,0.0013904689672607762,0.0013272658323852863,0.0005688282138794084,0.0008216407533813677,0.0024017191252686133,0.001074453292883327,0.0009480470231323473,"[40.1888604, -3.67143]",Comunidad de Madrid,-0.07223082912290349,-0.24512908202107514,-0.12197888702472201
32,Alcantarilla ,2163.0,38.49468331021729,0.4946833102172908,0.8908922792417938,0.008321775312066574,0.055940822931114194,0.0027739251040221915,0.0018492834026814608,0.0013869625520110957,0.002311604253351826,0.0,0.0018492834026814608,0.006934812760055479,0.0004623208506703652,0.010171058714748035,0.0009246417013407304,0.0,0.0009246417013407304,0.0,0.0,0.0004623208506703652,0.0009246417013407304,0.0004623208506703652,"[37.9680342, -1.214954]",Región de Murcia,0.011454379691790624,-0.06192838465988235,-0.01051631806373405
33,Cartagena,5498.0,37.88013823208439,0.4961804292469989,0.8381229538013824,0.05092761004001455,0.0205529283375773,0.0010913059294288831,0.017279010549290652,0.0025463805020007274,0.0021826118588577663,0.00018188432157148054,0.002728264823572208,0.02673699527100764,0.00018188432157148054,0.0012731902510003637,0.0,0.0,0.0007275372862859222,0.0007275372862859222,0.001636958894143325,0.0007275372862859222,0.0021826118588577663,0.0005456529647144416,"[37.6019353, -0.9841152]",Región de Murcia,0.011454379691790624,-0.06192838465988235,-0.01051631806373405
34,Molina de Segura,1368.0,37.26973684210526,0.5087719298245614,0.945906432748538,0.003654970760233918,0.016812865497076022,0.0029239766081871343,0.0,0.0007309941520467836,0.0043859649122807015,0.0014619883040935672,0.0,0.0014619883040935672,0.0021929824561403508,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0014619883040935672,0.0,0.0,"[38.0580379, -1.206233]",Región de Murcia,0.011454379691790624,-0.06192838465988235,-0.01051631806373405
35,Murcia,37334.0,39.64616703273156,0.5185085980607489,0.9200460706058821,0.011812289066266675,0.013847967000589274,0.00439277870038035,0.0019285369904108855,0.002303530294101891,0.0016338993946536668,0.00021428188782343172,0.0019017517544329566,0.011758718594310815,0.0002946375957572186,0.006883805646327744,0.00042856377564686344,0.0009106980232495848,0.0005892751915144372,0.00034820806771307654,0.0016338993946536668,0.0013660470348743773,0.002544597417903252,0.0005624899555365083,"[37.9923795, -1.1305431]",Región de Murcia,0.011454379691790624,-0.06192838465988235,-0.01051631806373405
36,Avila,10759.0,40.745329491588436,0.5116646528487777,0.9450692443535644,0.0056696719025931775,0.003996653964123059,0.00957338042569012,0.014964216005204945,0.0021377451436007063,0.0006506180871828237,0.002509526907705177,0.00018589088205223534,0.00018589088205223534,0.0013012361743656475,0.0010223998512872944,0.00046472720513058836,0.002881308671809648,0.00018589088205223534,0.000278836323078353,0.0020447997025745887,0.0006506180871828237,0.0010223998512872944,0.000836508969235059,"[40.656478, -4.7002172]",Castilla y León,0.09148302438788442,-0.11367173954408609,0.03071718819225131
37,Burgos,16201.0,43.10227763718289,0.5192272081970248,0.9553114005308314,0.002098635886673662,0.005431763471390655,0.0058021109808036545,0.006913153509042652,0.0009875933584346645,0.0003703475094129992,0.0014196654527498303,0.0003703475094129992,0.0008641441886303315,0.001049317943336831,0.0006789704339238319,0.0011110425282389975,0.001728288377260663,0.0006172458490216654,0.00012344916980433306,0.0002468983396086661,0.0004937966792173322,0.0062959076600209865,0.0003086229245108327,"[42.343926, -3.696977]",Castilla y León,0.09148302438788442,-0.11367173954408609,0.03071718819225131
38,León,14998.0,45.00520069342579,0.5320709427923723,0.968329110548073,0.0036004800640085347,0.0015335378050406721,0.005534071209494599,0.0014001866915588745,0.0011334844645952793,0.0013335111348179757,0.0003333777837044939,0.00020002667022269636,0.00013335111348179759,0.0008001066808907855,6.667555674089879e-05,0.0017335644752633685,0.003800506734231231,0.0021336178157087614,0.00020002667022269636,0.00040005334044539273,0.00026670222696359517,0.0003333777837044939,0.0003333777837044939,"[42.63414505, -5.971415104539984]",Castilla y León,0.09148302438788442,-0.11367173954408609,0.03071718819225131
39,Salamanca,17811.0,44.81651788220763,0.5297288192689911,0.9749592948178092,0.0019089326820504182,0.00067374094660603,0.0030879793386109707,0.0012351917354443884,0.00044916063107068664,0.0011229015776767167,0.0028072539441917916,0.0005053057099545225,0.0001684352366515075,0.0002807253944191792,0.0017404974453989108,0.0011790466565605525,0.0015159171298635675,0.0002807253944191792,5.614507888383583e-05,0.00044916063107068664,0.000336870473303015,0.0006175958677221942,0.0002807253944191792,"[40.9651572, -5.6640182]",Castilla y León,0.09148302438788442,-0.11367173954408609,0.03071718819225131
40,Valladolid,32628.0,44.31522005639328,0.5249785460340811,0.9683707245310776,0.002421233296555106,0.002727718523967145,0.00435209022925095,0.00245188181929631,0.0006129704548240775,0.0007968615912713007,0.001256589432389359,0.0003984307956356504,0.0001225940909648155,0.0008888071594949123,0.0013178864778717666,0.000735564545788893,0.002145396591884271,0.001471129091577786,0.00021453965918842712,0.0009501042049773201,0.0006129704548240775,0.003585877160720853,3.0648522741203875e-05,"[41.6521328, -4.728562]",Castilla y León,0.09148302438788442,-0.11367173954408609,0.03071718819225131
41,Badajoz,28334.0,39.38949671772429,0.51574080609868,0.9792122538293216,0.0013058516270205408,0.0014117314886708547,0.0020117173713559682,0.0028234629773417094,0.0009176254676360557,0.00024705301051739957,0.0008117456059857415,0.00017646643608385684,0.0003529328721677137,0.0003529328721677137,0.0011999717653702266,0.0003529328721677137,0.00017646643608385684,0.001129385190936684,0.0001411731488670855,0.0013764382014540835,0.00021175972330062822,0.0003176395849509423,0.0,"[38.88964355, -6.980142450723942]",Extremadura,0.02939033779248599,-0.12306492820436432,-0.014289360596456057
42,Barakaldo,9961.0,44.19787169962855,0.5160124485493425,0.9645617909848408,0.0034133119164742494,0.0021082220660576245,0.004517618712980624,0.002409396646923,0.00060234916173075,0.00020078305391024997,0.0014054813773717498,0.00010039152695512498,0.00010039152695512498,0.0014054813773717498,0.006625840779038249,0.00060234916173075,0.00060234916173075,0.0005019576347756249,0.00060234916173075,0.00060234916173075,0.000301174580865375,0.0,0.00020078305391024997,"[43.29548, -2.9900933]",País Vasco,-0.07451739890505617,-0.20943991389800728,-0.10798764723798644
43,Bilbao,29795.0,45.405772780667895,0.5309280080550428,0.9567041449907703,0.0019130726631985233,0.0028192649773451923,0.00728310119147508,0.0030542037254572916,0.0012082564188622253,0.0006041282094311126,0.0012753817754656822,0.0008055042792414835,0.00046987749622419867,0.0007048162443362981,0.00617553280751804,0.0007383789226380266,0.0008055042792414835,0.0013425071320691392,0.00026850142641382784,0.0006712535660345696,0.0008726296358449404,0.00010068803490518544,0.0004363148179224702,"[43.2630018, -2.9350039]",País Vasco,-0.07451739890505617,-0.20943991389800728,-0.10798764723798644
44,Getxo,16779.0,44.08224566422314,0.5252398831873175,0.9634662375588533,0.0011919661481613923,0.0014303593777936707,0.0035758984444841766,0.004052684903748734,0.0017283509148340187,0.0011323678407533227,0.0018475475296501579,0.00029799153704034806,0.0012515644555694619,0.00023839322963227844,0.004827462900053639,0.00011919661481613922,0.00029799153704034806,0.0017879492222420883,0.0006555813814887657,0.00041718815185648727,0.00041718815185648727,0.00017879492222420883,0.0007747779963049049,"[43.3479409, -3.0087671]",País Vasco,-0.07451739890505617,-0.20943991389800728,-0.10798764723798644
45,Vitoria,34145.0,42.896998096353784,0.5168838775809049,0.9365939376189779,0.006794552643139552,0.003983013618392151,0.007673158588373114,0.00899106750622346,0.0013179089178503441,0.0005857372968223752,0.0012593351881681066,0.0004685898374579001,0.0005564504319812564,0.0008200322155513252,0.004158734807438864,0.0010250402694391566,0.0016107775662615317,0.001698638160784888,0.00011714745936447503,0.00038072924293454385,0.000849319080392444,0.0006735978913457314,0.0011129008639625129,"[42.8465088, -2.6724025]",País Vasco,-0.07451739890505617,-0.20943991389800728,-0.10798764723798644
46,Barcelona,142585.0,45.37409965985202,0.5327068064663183,0.9198583301188764,0.004727004944419118,0.0073570151137917735,0.005414314268681839,0.0017042465897534804,0.003703054318476698,0.004958445839323912,0.00560367500087667,0.002630010169372655,0.0017323000315601221,0.001493845776203668,0.003955535294736473,0.0008906967773608725,0.002174141740014728,0.001956727566013255,0.0009818704632324577,0.0019427008451099344,0.005898236139846407,0.0004769085107129081,0.001781393554721745,"[41.3828939, 2.1774322]",Cataluña,-0.04075790078301175,-0.12925967873239794,-0.06562047749785936
47,Castelldefels,12484.0,40.7664210189042,0.5173822492790772,0.9069208586991349,0.015299583466837552,0.003524511374559436,0.004645946811919256,0.007049022749118872,0.008651073373918615,0.006968920217878885,0.003925024030759372,0.004645946811919256,0.003043896187119513,0.0008010253123998718,0.0036046139057994233,0.000881127843639859,0.001361743031079782,0.0016821531560397309,0.0036847164370394105,0.0004005126561999359,0.007289330342838834,0.0007209227811598846,0.0008010253123998718,"[41.2861022, 1.9824173]",Cataluña,-0.04075790078301175,-0.12925967873239794,-0.06562047749785936
48,Gava,4741.0,38.13478169162624,0.5129719468466568,0.959291288757646,0.008226112634465302,0.0027420375448217677,0.005695001054629825,0.0016874077198903185,0.002109259649862898,0.001054629824931449,0.0012655557899177389,0.0004218519299725796,0.0002109259649862898,0.0025311115798354778,0.002952963509808057,0.0006327778949588694,0.0002109259649862898,0.0008437038599451593,0.0014764817549040286,0.0,0.0018983336848766082,0.0,0.0014764817549040286,"[41.3050933, 2.0063126]",Cataluña,-0.04075790078301175,-0.12925967873239794,-0.06562047749785936
