,category
FGA_CI,140
THEWALKINGDEAD,140
XXXXXX%PHARMACY%%PHARMACY_RO%,140
SANTGORDI,140
APROZAR_RO,138
HAPPY_EASTER,138
XXXXXX%SNACKS%SOLD%COFFEE&SNACKS,135
SUSHICLUB_MA,133
CENANAVIDAD_PE,132
BREAKFAST_&_SNACKS,131
XXXXXX%SUPERMARKET%SOLD%BIEDRONK,129
Apéro ,129
ANNIVERSARY_RO,127
GOXO-FRINIGHT,127
NO-ME-TIRES,125
PHARMACY_REALPLAZA,122
SHOPS_SI,121
ANTIVALENTINLATAM,120
PANETONE,120
XXXXXX%RESTAURANTS%%ANTICOVINAIO,120
Fim de Exames,118
FESTAPAPA,118
FRANPRIXCDM,117
BEAUTY-AND-CARE-BULGARIA,117
COPA-BR,117
PG_PROMO,117
XXXXXX%DRINKS%%BEVANDE%,116
Under45'ROMANIA,114
OFFICEDAY,114
DUREX_RO,114
LOVE-DAYS,110
REDBULL_RO,109
PHARMACY&SHOPS_STORES,108
GLOVETE_PE,108
Cabritas,107
POTTERWEEK,106
FETEDESPERES,105
COUSCOUS-MA,102
XXXXXX%SUPERMARKET%%IDEA%,101
REGALONAVIDAD,100
LE-DRUGSTOREPARISIEN,99
GASTRONOMIA_REALPLAZA,99
ALCAMPO,98
DONACIONVIVERES_PE,96
SHOPS-UA,94
MARCH8-STORES-UA,94
MERIENDA1,94
SOLIDARITY,94
SHOPS_RS,93
XXXXXX%SMOKING%SOLD%IQOS-KZ%,91
DIADELACERVEZA,90
REGALO-KG,89
PauseDej ,88
XMAS-CHRISTMAS-IDEAS,88
BORJOMI-UA,87
SAMSUNGPARTY_RO,86
DIADOSPAIS-BR,86
Lojas-BR,82
PIZZA-HUT-PL,80
ELECTRONICS,80
BTS-GE,78
RED-BULL-UA,78
XXXXXX%DELIVERY%%PARCELS%GEO,75
PIZZAMP,74
MEXICANWKND,74
SANTASOS_PE,73
COCA-COLA-PIZZA-VILLAGE,73
TORTORA-HOUSE,72
BACKTOSCHOOL_MA,71
GLOVO_TE_RECOMIENDA,70
XXXXXX%ALCOHOL%SOLD%BEER%GEO,70
SUSHI,69
XMAS-GOURMET,68
Città della Pizza,66
MUGUET,66
JIM-BEAM-EASTER,64
XXXXXX%SHOPS%%STORES_RO%,64
BLUEMONDAY,63
IMWorld,62
DESAYUNO-TEST,61
GOXO-SATNIGHT,61
XXXXXX%DRINKS%SOLD%BEER-POINT%GE,60
SANVALENTINSTG,58
DUREX,58
ASIANMANIA,57
CALOR,55
EUROVISIONPT,55
XXXXXX%SHOPS%%GIFTS%CI,55
BK_PL,55
AMERICANWKND,55
JAGERMEISTER_RO,54
CLASEDECOCINA7PM,53
REGALOITA,53
03232020%SUPERMARKET%GROCERIES-K,53
MC_BR_AREIA,52
GOXO-SUNDAY,51
PARISHAWAI,51
McDo,51
XXXXXX%FLOWERS%%FLOWERS%GEO,50
BURGERFESTIVAL-RS,50
RESTAURANTES-HIDDEN,49
GOXO-SUNIGHT,49
XXXXXX%RESTAURANTS%%MCDONALD'S%G,49
GOXO-SATDAY,49
SÃOVALENTIM,49
XXXXXX%RESTAURANTS%PROMO%SERATA-,48
CHILDRENSDAY,48
XXXXXX%SUPERMARKET%%MARJANE%MA,47
P&G_SETS_RO,46
XXXXXX%RESTAURANTS%%SUBWAY_RO%,46
JAFFA-RS,45
DIADELCAFE,44
XXXXXX%HEALTH-&-BEAUTY%%LJEPOTA-,43
BANCOS-DE-PRODUCTOS,43
SAN-VALENTIN-CEAM,41
GLOVO-LUNCH-DARK,41
XXXXXX%ELECTRONICS%%ELECTRONICS%,40
XXXXXX%ELECTRONICS%%ELECTRO_RO%,40
FUNDACIÓN-INFANTIL-RONALD-MCDON,40
NATAKHTARI-GE,40
MARS-GEO,39
XXXXXX%DRINKS%SOLD%WINE-LIBRARY%,38
MCD-GE,38
TELEKOM_HR,37
SUPER-DEALS-SUNDAYS,37
WELCOME-BACK,37
BurgerONE,37
MENUDUJOURFRA,37
FESTIVAL_RO,37
WorldClass_RO,36
REFUGIADOS-SIN-FRONTERAS	,36
CORPORATE-LUNCH,36
GOT-PT,36
BIEK-PL,36
BURGERMP,36
04172020%SMOKING%IQOS-KZ%KZ,34
CHOMA-SATURDAY,34
WELLS,34
PEDIDOS-PROGRAMADOS-QD,34
1-KILO-DE-AYUDA,34
MOTHER'S-DAY_MA,34
PAPAJOHNS_ES,33
SVALENTINOMIL,33
TELETON_PE,33
TOPCHEF,33
pizza-br,30
GLOVOSIGNATURE,30
REGALO_SOLIDARIO,28
POKLONI,28
BEER-POINT_GEO,28
XXXXXX%HEALTH-&-BEAUTY%%PERSONAL,27
3X2_PE,27
MEAMA-GE,27
PIZZA,26
HEALTHYIT,26
CLÁSSICO,26
SUSHIMP,25
GOXO-THURSNIGHT,25
RESTORANI,25
STARBURGERSITA,25
PARIMATCH-UA,25
XXXXXX%RESTAURANTS%%DOMINOS_RO%,24
ALCOHOL,24
CASA-DE-PÍAS,24
BLACKFRIDAYPE,23
SUSHIWEEKEND,23
KFC-,23
SAO-JOAO,23
XMAS-PT-FOOD,23
BLACKFRIDAY,23
PACIFIK-POKE,23
SERATA-CALCIO,22
VALENTINES_MD,22
RED_BULL_HR,21
PARATI_PE,21
SUPERCLASICOBUE,21
BUTCHERY-KE,20
XXXXXX%SHOPS%%SHOPPING%,20
EXPRESS_PT20,20
BRUNCH,19
JUST-A-CHANGE	,19
XXXXXX%RESTAURANTS%SOLD%COCACOLA,18
MERCADOSCOMIDAPT,18
MINIPREÇO,17
KAYSER_CI,17
XXXXXX%RESTAURANTS%PROMO%DOSTAWA,17
GOXO-WEDNIGHT,17
PASTAMP,16
GOT-ES,16
PASTE_RO,16
HAPPY-HOUR,15
EPIPHANIE,15
AKSA,15
GLOVO-LUNCH-TEST,14
SERVICIOS-ES,14
MINIMARKET_LATAM,14
-DOMINO'S-PIZZA,13
THAIWOKPROMO-PL,13
HEALTH&PHARMA-AM,13
SUPERMERCADO_REALPLAZA,13
FREEDELIVERY_KE,12
BOGOFFR,12
XXXXXX%ALCOHOL%%APERO%CI,12
LigueDesChampions,12
AccessoriesBUC,11
XXXXXX%SUPERMARKET%%TRGOVINA%,11
DRINKS-PT,11
XXXXXX%DRINKS%SOLD%LAVAZZA-COFFE,11
CharityBUC,11
1erMAi,11
CLASEDECOCINA8.30PM,11
MACSHAURMA,10
TIENDA-MALAGA-CF,10
REPARACIONES,10
KIKI-&-RIKI,9
MODAYBELLEZA_REALPLAZA,9
ICECREAM,9
ORGULLOPERUANO_PE,8
ORGULLOPERUANOGROCERIES_PE,8
BELLEZA-PROGRAMADOS,8
XXXXXX%SPORTS-&-OUTDOORS%%POLLEO,8
XXXXXX%SHOPS%SOLD%PAPIERNIK%,8
SANTJOAN,8
SUPERGLOVO_OFERTAS,8
CONTINENTE,8
GLOVO-LUNCH-FAKE,8
LA_ROJA,7
FOOD-RESCUE,7
XXXXXX%SHOPS%%SHOP-HR%,7
XXXXXX%SNACKS%%SNACKS%MA,7
PROMOS,7
XXXXXX%SHOPS%%REGALO-KZ%,7
XXXXXX%SNACKS%SOLD%MARS%GEO,7
SUPERCOSMETICS,7
GLOVOLOCURA-EC,7
ASSOCIAÇÃO-CULTURAL-MOINHO-DA-,7
XXXXXX%SHOPS%%MESO-I-RIBA%,6
DARMOWA-DOSTAWA-PIZZA-HUT,6
GOURMET,6
GLOVO-LUNCH-HIDDEN,6
COSMETICS,6
INDIANMP,5
XXXXXX%RESTAURANTS%%PEP_PEPPER_R,5
VACANCES,5
UNILEVER-GELATI,5
VALENTINESDAY_ME,5
BEER_GEO,5
PROMO_ME,5
PROMOALERTA-PE,5
Glovet_CAS,4
COMPARTIR-&-DISFRUTAR,4
XXXXXX%SUPERMARKET%%SUPERMARKET%,4
CARREFOUR_MA,4
PROMOTIONS,4
PERSONALCARE_CI,4
CHAMPIONS-LEAGUE-EC,4
CHINESEMP,4
PIZZA-&-COCA-COLA,4
COMBO_FESTA,4
XXXXXX%SHOPS%%PHARMACY&SHOPS_STO,4
PARA-LOS-NIÑOS,4
DIA_DEL_AMIGO_AR,3
FLOWERS_HR,3
COMIDAPAPA_PE,3
BACK-TO-SCHOOL-RO,3
XXXXXX%SHOPS%SOLD%COSMETICS%,3
GROM,3
XXXXXX%PHARMACY%SOLD%DR-MAX%,3
INGRESSOS,3
TICKETS_RS,3
MRJEFF_ES,3
MCDCAS,3
TO.MARKET,3
FUNDAÇÃO-RONALD-MCDONALD-PT,3
IT-GLOVO-MARKET-20-MIN,3
